,Entity,Code,Year,Cellular Subscription,Internet Users(%),No. of Internet Users,Broadband Subscription
8356,United Kingdom,GBR,1980,0,0,0,0
8357,United Kingdom,GBR,1981,0,0,0,0
8358,United Kingdom,GBR,1982,0,0,0,0
8359,United Kingdom,GBR,1983,0,0,0,0
8360,United Kingdom,GBR,1984,0,0,0,0
8361,United Kingdom,GBR,1985,0.088631183,0,0,0
8362,United Kingdom,GBR,1986,0.22999689,0,0,0
8363,United Kingdom,GBR,1987,0.511840522,0,0,0
8364,United Kingdom,GBR,1988,0.98569411,0,0,0
8365,United Kingdom,GBR,1989,1.711297989,0,0,0
8366,United Kingdom,GBR,1990,1.949788928,0.087355316,49976,0
8367,United Kingdom,GBR,1991,2.199306488,0.174230918,99938,0
8368,United Kingdom,GBR,1992,2.623331547,0.26061517,149878,0
8369,United Kingdom,GBR,1993,3.937343836,0.51976198,299630,0
8370,United Kingdom,GBR,1994,6.820930958,1.036609173,599014,0
8371,United Kingdom,GBR,1995,9.90081501,1.895168304,1097878,0
8372,United Kingdom,GBR,1996,12.47274399,4.123650551,2394958,0
8373,United Kingdom,GBR,1997,15.1627636,7.385398865,4302009,0
8374,United Kingdom,GBR,1998,25.42814255,13.66998291,7988508,0
8375,United Kingdom,GBR,1999,46.29925156,21.29363823,12485568,0
8376,United Kingdom,GBR,2000,73.74330902,26.82175446,15784614,0.089760743
8377,United Kingdom,GBR,2001,78.2808609,33.48109436,19784654,0.559769928
8378,United Kingdom,GBR,2002,82.97838593,56.47999954,33524092,2.286475182
8379,United Kingdom,GBR,2003,91.09287262,64.81999969,38665000,5.227715492
8380,United Kingdom,GBR,2004,99.69128418,65.61000061,39363279,10.22820377
8381,United Kingdom,GBR,2005,108.5982513,70,42268618,16.41895676
8382,United Kingdom,GBR,2006,115.2192764,68.81999969,41845106,21.39544487
8383,United Kingdom,GBR,2007,120.1464767,75.08999634,46000642,25.39412308
8384,United Kingdom,GBR,2008,120.5902634,78.38999939,48399673,27.85420609
8385,United Kingdom,GBR,2009,121.7296448,83.55999756,52010570,28.45395088
8386,United Kingdom,GBR,2010,120.9109039,85,53346041,30.17895699
8387,United Kingdom,GBR,2011,120.5248108,85.37999725,54033892,32.15914536
8388,United Kingdom,GBR,2012,121.393219,87.47999573,55819873,33.60800171
8389,United Kingdom,GBR,2013,121.066658,89.84410095,57771820,35.45456696
8390,United Kingdom,GBR,2014,119.9281998,91.61000061,59339007,36.27131653
8391,United Kingdom,GBR,2015,120.3319397,92.00029755,60006613,37.4477005
8392,United Kingdom,GBR,2016,119.0555573,94.77580261,62225247,38.4229393
8393,United Kingdom,GBR,2017,118.5403976,90.42455292,59738807,39.02955627
8394,United Kingdom,GBR,2018,117.4992905,90.69200897,60249419,39.59851456
8395,United Kingdom,GBR,2019,118.2345581,92.51663208,61781367,39.79253006
8396,United Kingdom,GBR,2020,116.3818588,94.81819916,63584584,40.25909805